DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,NA,,,,107973,08/15/2013 12:00:00 AM,231.0,248.0,239.3,,,,,,
,,NA,,,,93598,08/27/2014 12:00:00 AM,12.0,4.0,6.9,,,,,,
,,NA,,,,108593,07/05/2012 12:00:00 AM,2.0,2.0,2.0,,,,,,
10601,06/03/2019 12:08:00 PM,63rd Street,15.0,121.0,42.6,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
10600,06/03/2019 12:08:00 PM,South Shore,1006.0,16.0,126.9,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
10582,06/03/2019 12:10:00 PM,North Avenue,69.0,8.0,23.5,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
10646,06/03/2019 12:12:00 PM,Howard,90.0,169.0,123.3,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
10599,06/03/2019 12:08:00 PM,Rainbow,150.0,245.0,191.7,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
10603,06/03/2019 12:09:00 PM,Ohio Street,32.0,3.0,9.8,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
10605,06/03/2019 12:07:00 PM,Calumet,142.0,81.0,107.2,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,NA,,,,105618,07/02/2013 12:00:00 AM,1.0,1.0,1.0,,,,,,
10625,06/03/2019 12:11:00 PM,Osterman,3.0,7.0,4.6,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
10584,06/03/2019 12:10:00 PM,Foster,12.0,8.0,9.8,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
10604,06/03/2019 12:10:00 PM,Oak Street,12.0,4.0,6.9,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
10581,06/03/2019 12:09:00 PM,12th Street,246.0,125.0,175.4,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
10580,06/03/2019 12:09:00 PM,Oakwood,13.0,4.0,7.2,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10645,06/03/2019 12:12:00 PM,Marion Mahony Griffin (Jarvis),77.0,6.0,21.5,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
10627,06/03/2019 12:11:00 PM,Leone,81.0,218.0,132.9,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
10626,06/03/2019 12:11:00 PM,Hartigan (Albion),34.0,17.0,24.0,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
10602,06/03/2019 12:09:00 PM,Margaret T Burroughs (31st),32.0,12.0,19.6,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
10579,06/03/2019 12:08:00 PM,57th Street,10.0,3.0,5.5,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,NA,,,,98229,07/18/2006 12:00:00 AM,104.6,86.0,94.8,,,,,,
,,NA,,,,104762,07/03/2006 12:00:00 AM,2.0,3.1,2.5,,,,,,
,,NA,,,,92980,08/14/2014 12:00:00 AM,67.0,58.0,62.3,,,,,,
,,NA,,,,106097,07/23/2013 12:00:00 AM,6.0,17.0,10.1,,,,,,
,,NA,,,,97761,07/12/2006 12:00:00 AM,19.9,19.9,19.9,,,,,,
10628,06/03/2019 12:12:00 PM,Rogers,4.0,8.0,5.7,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
10583,06/03/2019 12:10:00 PM,Montrose,10.0,39.0,19.7,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,NA,,,,96646,07/19/2011 12:00:00 AM,81.3,60.5,70.1,,,,,,
10631,06/04/2019 12:13:00 PM,Oak Street,76.0,64.0,69.7,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
10666,06/04/2019 12:12:00 PM,63rd Street,118.0,125.0,121.4,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,NA,,,,106074,07/22/2013 12:00:00 AM,1.0,1.0,1.0,,,,,,
10667,06/04/2019 12:12:00 PM,57th Street,332.0,396.0,362.6,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
10635,06/04/2019 12:15:00 PM,Leone,57.0,13.0,27.2,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
10668,06/04/2019 12:12:00 PM,Oakwood,12.0,4.0,6.9,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10675,06/04/2019 12:16:00 PM,Howard,58.0,4.0,15.2,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
10633,06/04/2019 12:15:00 PM,Osterman,4.0,4.0,4.0,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
10670,06/04/2019 12:13:00 PM,12th Street,120.0,71.0,92.3,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
10672,06/04/2019 12:14:00 PM,North Avenue,191.0,115.0,148.2,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
10629,06/04/2019 12:11:00 PM,Rainbow,1087.0,115.0,353.6,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
10671,06/04/2019 12:13:00 PM,Ohio Street,590.0,122.0,268.3,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
10665,06/04/2019 12:11:00 PM,Calumet,84.0,,84.0,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,NA,,,,106726,06/27/2014 12:00:00 AM,8.0,3.0,4.9,,,,,,
10636,06/04/2019 12:16:00 PM,Rogers,4.0,20.0,8.9,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
10669,06/04/2019 12:13:00 PM,Margaret T Burroughs (31st),50.0,158.0,88.9,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
10634,06/04/2019 12:15:00 PM,Hartigan (Albion),29.0,73.0,46.0,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
10674,06/04/2019 12:15:00 PM,Marion Mahony Griffin (Jarvis),17.0,16.0,16.5,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
10673,06/04/2019 12:14:00 PM,Foster,35.0,14.0,22.1,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
10630,06/04/2019 12:12:00 PM,South Shore,35.0,46.0,40.1,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
13801,07/06/2020 12:52:00 PM,63rd Street,1135.0,709.0,897.1,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,NA,,,,103696,06/06/2006 12:00:00 AM,1.0,1.0,1.0,,,,,,
13802,07/06/2020 12:52:00 PM,Margaret T Burroughs (31st),288.0,967.0,527.7,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
13783,07/06/2020 12:54:00 PM,Oakwood,942.0,37.0,186.7,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
13778,07/08/0020 12:00:00 AM,Oak Street,2560.0,3001.0,2771.7,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
13785,07/06/2020 12:52:00 PM,North Avenue,1651.0,1928.0,1784.1,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
13795,07/08/0020 12:00:00 AM,Margaret T Burroughs (31st),288.0,967.0,527.7,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
13796,07/08/0020 12:00:00 AM,Ohio Street,58.0,169.0,99.0,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
13776,07/08/0020 12:00:00 AM,Oakwood,942.0,37.0,186.7,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10632,06/04/2019 12:14:00 PM,Montrose,62.0,97.0,77.5,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
13793,07/06/2020 12:52:00 PM,Rainbow,886.0,9.0,89.3,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
13782,07/06/2020 12:49:00 PM,57th Street,161.0,1312.0,459.6,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
13794,07/08/0020 12:00:00 AM,57th Street,161.0,1312.0,459.6,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
13773,07/06/2020 12:52:00 PM,Calumet,1350.0,460.0,788.0,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
13777,07/08/0020 12:00:00 AM,12th Street,35.0,152.0,72.9,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
13800,07/06/2020 12:51:00 PM,South Shore,930.0,2143.0,1411.7,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
13799,07/08/0020 12:00:00 AM,Hartigan (Albion),382.0,210.0,283.2,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
13784,07/06/2020 12:52:00 PM,Ohio Street,58.0,169.0,99.0,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
13798,07/08/0020 12:00:00 AM,Foster,254.0,163.0,203.5,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
13781,07/08/0020 12:00:00 AM,Leone,7.0,23.0,12.7,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
13787,07/06/2020 12:52:00 PM,Osterman,190.0,330.0,250.4,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
13789,07/06/2020 12:52:00 PM,Leone,7.0,23.0,12.7,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
13804,07/06/2020 12:52:00 PM,Foster,254.0,163.0,203.5,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
13797,07/08/0020 12:00:00 AM,North Avenue,1651.0,1928.0,1784.1,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
13774,07/08/0020 12:00:00 AM,South Shore,930.0,2143.0,1411.7,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
13786,07/06/2020 12:52:00 PM,Montrose,665.0,176.0,342.1,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
13788,07/06/2020 12:52:00 PM,Hartigan (Albion),382.0,210.0,283.2,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
13779,07/08/0020 12:00:00 AM,Montrose,665.0,176.0,342.1,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,NA,,,,98000,08/10/2006 12:00:00 AM,86.2,344.8,172.4,,,,,,
13775,07/08/0020 12:00:00 AM,63rd Street,1135.0,709.0,897.1,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
13780,07/08/0020 12:00:00 AM,Osterman,190.0,330.0,250.4,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
13813,07/06/2020 12:52:00 PM,12th Street,35.0,152.0,72.9,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
13803,07/06/2020 12:52:00 PM,Oak Street,2560.0,3001.0,2771.7,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,NA,,,,97098,07/26/2012 12:00:00 AM,240.0,231.0,235.5,,,,,,
,,NA,,,,110480,07/09/2013 12:00:00 AM,1.0,1.0,1.0,,,,,,
,,NA,,,,108070,06/05/2014 12:00:00 AM,2420.0,2420.0,2420.0,,,,,,
10708,06/05/2019 12:05:00 PM,Margaret T Burroughs (31st),10.0,75.0,27.4,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
10689,06/05/2019 12:08:00 PM,Hartigan (Albion),1226.0,161.0,444.3,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
10711,06/05/2019 12:07:00 PM,North Avenue,57.0,29.0,40.7,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
10716,06/05/2019 12:11:00 PM,63rd Street,167.0,435.0,269.5,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
10686,06/05/2019 12:05:00 PM,57th Street,32.0,79.0,50.3,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
10713,06/05/2019 12:08:00 PM,Osterman,91.0,80.0,85.3,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
10709,06/05/2019 12:06:00 PM,12th Street,129.0,30.0,62.2,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
10691,06/05/2019 12:10:00 PM,Rogers,228.0,363.0,287.7,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
10685,06/05/2019 12:04:00 PM,Calumet,11.0,7.0,8.8,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
10688,06/05/2019 12:08:00 PM,Foster,19.0,38.0,26.9,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
10706,06/05/2019 12:05:00 PM,South Shore,15.0,279.0,64.7,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
10712,06/05/2019 12:07:00 PM,Montrose,1059.0,1295.0,1171.1,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
10710,06/05/2019 12:06:00 PM,Ohio Street,15.0,1610.0,155.4,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
10707,06/05/2019 12:05:00 PM,Oakwood,10.0,3.0,5.5,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10715,06/05/2019 12:09:00 PM,Howard,14.0,45.0,25.1,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
10705,06/05/2019 12:04:00 PM,Rainbow,236.0,32.0,86.9,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
10714,06/05/2019 12:09:00 PM,Leone,90.0,113.0,100.8,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
10687,06/05/2019 12:06:00 PM,Oak Street,49.0,431.0,145.3,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
10690,06/05/2019 12:09:00 PM,Marion Mahony Griffin (Jarvis),139.0,88.0,110.6,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
10723,06/06/2019 12:27:00 PM,Ohio Street,695.0,230.0,399.8,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
10718,06/06/2019 12:24:00 PM,South Shore,936.0,134.0,354.2,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
10725,06/06/2019 12:28:00 PM,Foster,4.0,3.0,3.5,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
13833,07/07/2020 12:42:00 PM,57th Street,7044.0,9022.0,7971.9,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
13791,07/07/2020 12:42:00 PM,Rainbow,5127.0,3260.0,4088.3,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
13838,07/07/2020 12:42:00 PM,Foster,760.0,1314.0,999.3,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,NA,,,,107921,08/08/2013 12:00:00 AM,64.0,51.0,57.1,,,,,,
,,NA,,,,90296,06/29/2011 12:00:00 AM,1.0,2.0,1.4,,,,,,
13841,07/07/2020 12:42:00 PM,Marion Mahony Griffin (Jarvis),33.0,282.0,96.5,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
13836,07/07/2020 12:42:00 PM,Oak Street,49.0,37.0,42.6,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,NA,,,,108748,07/17/2012 12:00:00 AM,68.9,49.5,58.4,,,,,,
13835,07/07/2020 12:42:00 PM,12th Street,96.0,12.0,33.9,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
10729,06/06/2019 12:30:00 PM,Rogers,28.0,44.0,35.1,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
10720,06/06/2019 12:25:00 PM,Oakwood,13.0,22.0,16.9,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10727,06/06/2019 12:29:00 PM,Hartigan (Albion),11.0,26.0,16.9,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
10724,06/06/2019 12:27:00 PM,Oak Street,67.0,11.0,27.1,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
10681,06/06/2019 12:29:00 PM,Marion Mahony Griffin (Jarvis),3.0,20.0,7.7,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
10676,06/06/2019 12:24:00 PM,Rainbow,94.0,112.0,102.6,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
13755,07/07/2020 12:42:00 PM,Oakwood,6618.0,5221.0,5878.1,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10717,06/06/2019 12:23:00 PM,Calumet,391.0,128.0,223.7,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
10721,06/06/2019 12:26:00 PM,Margaret T Burroughs (31st),14.0,128.0,42.3,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
10722,06/06/2019 12:26:00 PM,12th Street,115.0,8.0,30.3,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
10719,06/06/2019 12:25:00 PM,63rd Street,156.0,187.0,170.8,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
10726,06/06/2019 12:28:00 PM,Osterman,31.0,9.0,16.7,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
10679,06/06/2019 12:28:00 PM,Montrose,118.0,61.0,84.8,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
10728,06/06/2019 12:30:00 PM,Howard,45.0,12.0,23.2,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
10677,06/06/2019 12:25:00 PM,57th Street,3.0,4.0,3.5,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,NA,,,,99912,05/14/2009 12:00:00 AM,10.8,4.0,6.6,,,,,,
10678,06/06/2019 12:27:00 PM,North Avenue,121.0,58.0,83.8,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
13790,07/07/2020 12:42:00 PM,Calumet,855.0,644.0,742.0,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
13837,07/07/2020 12:42:00 PM,North Avenue,2522.0,1165.0,1714.1,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
13756,07/07/2020 12:42:00 PM,Ohio Street,13.0,232.0,54.9,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
13754,07/07/2020 12:42:00 PM,South Shore,3009.0,7904.0,4876.8,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
13840,07/07/2020 12:42:00 PM,Leone,120.0,124.0,122.0,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
13758,07/07/2020 12:42:00 PM,Hartigan (Albion),460.0,462.0,461.0,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
13839,07/07/2020 12:42:00 PM,Osterman,1561.0,491.0,875.5,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
13757,07/07/2020 12:42:00 PM,Montrose,1252.0,345.0,657.2,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
13834,07/07/2020 12:42:00 PM,Margaret T Burroughs (31st),1101.0,2413.0,1629.9,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
13792,07/07/2020 12:42:00 PM,63rd Street,10948.0,8334.0,9552.0,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
