Station Name,Latitude_x,Longitude_x,Date,Precipitation,Temperature_Max,Sample_Date,DNA Test ID,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude_y,Longitude_y,Water Temperature
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-01,0.0,80.0,2019-06-01,10564.0,35.0,47.0,40.6,41.8935,-87.6152,16.176190476190477
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-02,0.0,70.0,2019-06-02,10574.0,213.0,189.0,200.6,41.8935,-87.6152,14.840909090909092
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-03,0.0,67.0,2019-06-03,10603.0,32.0,3.0,9.8,41.8935,-87.6152,15.009090909090906
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-04,0.29,82.0,2019-06-04,10671.0,590.0,122.0,268.3,41.8935,-87.6152,15.056521739130435
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-05,0.29,83.0,2019-06-05,10710.0,15.0,1610.0,155.4,41.8935,-87.6152,16.243478260869562
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-06,0.0,75.0,2019-06-06,10723.0,695.0,230.0,399.8,41.8935,-87.6152,15.94090909090909
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-07,0.0,78.0,2019-06-07,10749.0,861.0,599.0,718.1,41.8935,-87.6152,16.212500000000002
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-09,0.0,75.0,2019-06-09,10814.0,1522.0,1092.0,1289.2,41.8935,-87.6152,16.612499999999997
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-10,0.0,74.0,2019-06-10,10848.0,636.0,133.0,290.8,41.8935,-87.6152,17.025000000000002
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-11,0.0,82.0,2019-06-11,10855.0,198.0,109.0,146.9,41.8935,-87.6152,17.083333333333332
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-12,0.75,71.0,2019-06-12,10870.0,6.0,15.0,9.5,41.8935,-87.6152,16.929166666666664
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-13,0.05,68.0,2019-06-13,10909.0,153.0,79.0,109.9,41.8935,-87.6152,15.033333333333333
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-14,0.05,80.0,2019-06-14,10950.0,22.0,57.0,35.4,41.8935,-87.6152,15.516666666666667
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-15,0.02,70.0,2019-06-15,10938.0,543.0,69.0,193.6,41.8935,-87.6152,15.61304347826087
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-16,0.07,60.0,2019-06-16,10961.0,432.0,543.0,484.3,41.8935,-87.6152,15.39583333333333
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-17,0.0,67.0,2019-06-17,10992.0,329.0,155.0,225.8,41.8935,-87.6152,15.566666666666665
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-18,0.0,78.0,2019-06-18,11002.0,409.0,344.0,375.1,41.8935,-87.6152,16.6
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-19,0.18,72.0,2019-06-19,11093.0,143.0,224.0,179.0,41.8935,-87.6152,16.212499999999995
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-20,0.28,71.0,2019-06-20,11115.0,164.0,99.0,127.4,41.8935,-87.6152,15.304347826086957
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-21,0.0,72.0,2019-06-21,11219.0,56.0,879.0,221.9,41.8935,-87.6152,15.674999999999999
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-22,0.0,79.0,2019-06-22,11256.0,386.0,442.0,413.1,41.8935,-87.6152,16.6875
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-23,0.38,81.0,2019-06-23,11277.0,80.0,176.0,118.7,41.8935,-87.6152,16.195833333333336
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-24,0.17,78.0,2019-06-24,11355.0,41.0,2134.0,295.8,41.8935,-87.6152,16.74166666666667
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-25,0.14,85.0,2019-06-25,11397.0,18.0,45.0,28.5,41.8935,-87.6152,17.208333333333336
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,2019-06-26,0.15,89.0,2019-06-26,11455.0,57.0,33.0,43.4,41.8935,-87.6152,17.116666666666667
