station_name,r_date,precipitation_inches,max_air_temperature_f, dna_sample_1_reading ,dna_sample_2_reading,dna_reading_mean,max_water_temperature_f
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-01,0.0,80.0,81.211,453.211,141.953,61.1168
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-02,0.0,70.0,122.579,158.474,120.032,58.7138
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-03,0.0,67.0,107.263,57.579,55.674,59.0162
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-04,0.29,82.0,155.842,80.944,97.547,59.1026
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-05,0.29,83.0,189.316,273.316,166.763,61.237399999999994
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-06,0.0,75.0,158.056,66.5,91.272,60.6938
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-07,0.0,78.0,135.053,141.842,124.626,61.183400000000006
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-08,0.0,76.0,986.632,816.368,860.853,61.9178
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-09,0.0,75.0,261.211,235.474,239.232,61.9016
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-10,0.0,74.0,104.0,164.842,106.005,62.644999999999996
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-11,0.0,82.0,31.947,36.421,24.763,62.749399999999994
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-12,0.75,71.0,40.15,40.7,32.205,62.4722
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-13,0.05,68.0,605.75,379.938,456.125,59.0594
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-14,0.05,80.0,87.368,73.0,74.6,59.9306
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-15,0.02,70.0,96.75,56.4,56.57,60.1034
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-16,0.07,60.0,239.15,79.05,112.435,59.7128
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-17,0.0,67.0,74.0,59.7,60.635,60.0206
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-18,0.0,78.0,237.9,184.15,177.485,61.88
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-19,0.18,72.0,503.053,352.368,361.837,61.1816
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-20,0.28,71.0,295.789,316.222,298.342,59.547200000000004
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-21,0.0,72.0,47.474,92.056,50.521,60.215
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-22,0.0,79.0,1003.632,177.947,265.084,62.038399999999996
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-23,0.38,81.0,59.526,64.105,51.116,61.1528
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-24,0.17,78.0,74.053,404.737,86.832,62.135600000000004
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-25,0.14,85.0,204.263,130.579,107.679,62.9744
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-26,0.15,89.0,89.158,47.722,65.711,62.8106
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-27,0.02,89.0,87.211,188.211,84.363,61.9628
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-28,0.01,90.0,232.263,289.211,203.437,63.260600000000004
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-29,0.0,87.0,200.579,125.053,135.668,65.2856
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-06-30,0.2,91.0,203.737,167.368,177.226,64.7294
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-01,0.0,89.0,654.895,999.947,526.542,65.45660000000001
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-02,0.01,92.0,623.895,228.842,256.805,69.02780000000001
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-03,0.41,86.0,2425.684,1169.263,1603.374,68.4194
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-04,0.0,91.0,259.65,407.75,294.11,69.4922
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-05,0.47,91.0,127.85,144.5,105.13,70.97720000000001
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-06,0.0,83.0,1074.6,1218.6,981.665,69.7244
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-07,0.0,77.0,882.556,575.353,621.217,68.5706
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-08,0.0,83.0,997.789,673.368,694.774,70.4084
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-09,0.0,88.0,864.05,634.368,646.515,71.78
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-10,0.01,94.0,735.35,398.5,476.1,74.0102
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-11,0.0,82.0,103.7,245.75,129.82,73.895
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-12,0.0,87.0,684.45,741.75,684.44,72.095
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-13,0.0,94.0,89.15,103.947,76.245,73.7456
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-14,0.0,91.0,396.55,635.5,480.19,75.0578
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-15,0.0,92.0,372.25,360.3,301.87,74.9228
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-16,0.05,82.0,56.5,56.9,47.43,72.0356
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-17,0.47,92.0,340.0,912.579,417.7,71.4956
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-18,1.36,87.0,412.7,234.421,272.495,71.7872
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-19,0.0,93.0,78.0,83.0,72.595,71.195
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-20,0.08,95.0,2663.0,2329.65,2362.01,69.7298
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-21,0.76,79.0,959.947,564.474,468.821,66.33500000000001
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-22,0.0,75.0,860.8,1299.1,961.985,68.36
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-23,0.0,80.0,202.75,370.05,249.585,70.7072
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-24,0.0,81.0,294.55,280.5,257.11,72.16159999999999
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-25,0.0,85.0,121.35,106.25,103.82,71.90780000000001
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-26,0.0,85.0,100.9,424.15,134.085,71.9906
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-27,0.0,89.0,113.75,309.5,112.355,72.5522
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-28,0.0,89.0,172.95,168.2,164.035,72.4334
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-29,0.32,82.0,125.05,83.85,64.925,69.5966
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-30,0.0,78.0,644.35,1547.15,662.94,69.845
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-07-31,0.0,76.0,341.7,317.95,277.12,70.48939999999999
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-01,0.0,80.0,475.6,393.3,364.805,71.8484
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-02,0.0,83.0,235.95,319.4,250.51,73.27940000000001
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-03,0.0,89.0,798.9,359.65,237.655,74.1956
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-04,0.0,89.0,224.75,255.6,230.97,75.11
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-05,0.0,90.0,550.15,432.55,464.005,75.8894
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-06,0.01,85.0,1274.3,1276.95,1208.615,75.1172
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-07,0.0,88.0,38.4,61.25,44.985,74.8022
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,2019-08-08,0.01,87.0,192.2,282.7,206.775,75.0578
